m,c1,c2,Distance
-5.67,2.09,3.86,1.77
-9.11,-6.55,7.05,13.6
5.41,-3.86,-2.07,1.79
2.13,3.8,-2.14,5.9399999999999995
-0.77,-7.56,2.3,9.86
-9.14,-7.65,0.31,7.96
-3.63,2.5,-6.51,9.01
1.86,-5.59,-6.29,0.7000000000000002
-0.87,-5.31,7.16,12.469999999999999
-5.4,-8.3,1.8,10.100000000000001
-5.71,0.45,-8.6,9.049999999999999
5.0,-3.84,-9.64,5.800000000000001
-6.23,5.74,6.86,1.12
-9.82,-6.56,5.5,12.059999999999999
-7.03,0.56,-3.6,4.16
-2.38,0.1,-5.42,5.52
0.33,-2.2,5.67,7.87
1.02,2.93,6.85,3.9199999999999995
7.34,-6.99,-8.02,1.0299999999999994
-1.84,0.42,2.23,1.81
-1.12,0.89,5.99,5.1000000000000005
-2.0,9.31,-9.4,18.71
-6.04,-2.22,-3.92,1.6999999999999997
-3.42,-2.23,-5.05,2.82
-2.49,-1.65,-7.61,5.960000000000001
0.41,8.53,-2.24,10.77
-2.05,-7.31,-7.95,0.6400000000000006
-9.45,-2.9,5.53,8.43
-9.39,1.57,-9.09,10.66
9.56,-2.1,2.64,4.74
4.53,-1.49,3.19,4.68
-0.8,9.24,-9.95,19.189999999999998
4.68,-7.94,9.22,17.16
4.53,-5.64,-5.5,0.13999999999999968
0.81,-1.47,-4.42,2.95
-4.54,2.15,6.2,4.050000000000001
-4.35,0.29,8.58,8.290000000000001
0.76,4.14,7.62,3.4800000000000004
-1.9,7.51,-3.52,11.03
6.54,-8.87,-6.18,2.6899999999999995
-3.46,7.56,-6.45,14.01
-2.8,5.8,2.74,3.0599999999999996
7.82,1.68,1.25,0.42999999999999994
-2.7,-1.06,-3.75,2.69
7.31,4.54,3.96,0.5800000000000001
6.66,-0.73,-0.57,0.16000000000000003
4.96,5.23,6.38,1.1499999999999995
4.88,-3.65,6.11,9.76
7.06,6.67,7.07,0.40000000000000036
7.46,5.61,-3.67,9.280000000000001
1.43,-8.15,9.15,17.3
-7.4,-9.28,6.48,15.76
-4.47,-0.06,-0.87,0.81
2.57,-3.29,-1.28,2.01
1.1,-5.19,-8.58,3.3899999999999997
-1.83,-4.68,6.46,11.14
-0.4,3.85,9.76,5.91
4.79,-9.43,-0.31,9.12
8.58,-2.29,-1.49,0.8
-3.69,-8.61,-8.74,0.13000000000000078
8.34,-7.72,-8.32,0.6000000000000005
5.6,-1.04,-1.21,0.16999999999999993
-1.3,-3.48,9.22,12.700000000000001
5.22,9.55,-1.43,10.98
-0.75,-9.58,-6.78,2.8
-1.57,-8.05,-4.92,3.130000000000001
-6.87,-7.77,4.6,12.37
-7.76,-8.78,1.55,10.33
4.1,3.73,7.08,3.35
-4.81,-7.26,-1.07,6.1899999999999995
-7.65,-1.31,2.74,4.050000000000001
3.93,4.9,-0.82,5.720000000000001
-8.84,-6.86,7.64,14.5
-8.71,-2.01,-7.72,5.71
-2.07,8.76,4.71,4.05
-5.68,9.41,-4.28,13.690000000000001
-8.28,-9.77,-5.4,4.369999999999999
5.35,6.96,-9.69,16.65
8.83,4.14,2.34,1.7999999999999998
-2.72,-0.89,-3.0,2.11
-3.72,0.25,-6.03,6.28
-4.4,-3.49,-7.08,3.59
-8.9,5.39,7.2,1.8100000000000005
-0.39,5.35,-0.61,5.96
5.9,-5.13,1.1,6.23
2.32,5.49,7.76,2.2699999999999996
3.43,4.53,-0.8,5.33
7.65,-1.6,6.54,8.14
-7.75,7.71,4.36,3.3499999999999996
-6.72,7.28,1.35,5.93
9.87,-9.81,8.23,18.04
3.9,-2.81,-0.3,2.5100000000000002
10.0,-7.48,-8.09,0.6099999999999994
-5.05,-2.22,9.91,12.13
5.96,-6.04,6.7,12.74
-6.32,-1.15,-4.9,3.7500000000000004
4.36,-8.52,-3.99,4.529999999999999
8.06,7.21,-5.28,12.49
-1.89,-9.67,0.39,10.06
8.59,0.78,2.13,1.3499999999999999
7.31,6.81,-6.67,13.48
2.85,8.85,-9.39,18.240000000000002
2.07,8.4,4.27,4.130000000000001
0.31,2.71,-8.47,11.18
3.66,7.95,2.2,5.75
5.2,-9.03,-1.82,7.209999999999999
1.78,-3.03,4.25,7.279999999999999
4.24,-6.78,3.92,10.7
-4.08,8.06,-6.11,14.170000000000002
-0.52,-6.13,-1.94,4.1899999999999995
3.95,-6.21,-2.4,3.81
0.83,-3.33,4.25,7.58
-4.43,1.5,-9.1,10.6
0.88,7.46,-6.87,14.33
-6.3,9.61,1.77,7.84
6.02,-3.84,-1.13,2.71
-7.46,-7.51,7.09,14.6
9.32,-1.44,-4.14,2.6999999999999997
8.34,-1.24,-2.14,0.9000000000000001
-2.6,-3.25,0.49,3.74
-3.16,-6.02,4.56,10.579999999999998
-3.36,-9.59,4.38,13.969999999999999
-7.24,9.67,0.75,8.92
-7.52,2.12,0.21,1.9100000000000001
0.65,2.82,-0.43,3.25
0.03,1.25,4.24,2.99
9.76,-0.93,0.4,1.33
-3.06,-8.15,3.2,11.350000000000001
-1.94,8.19,8.89,0.7000000000000011
-4.7,-3.06,-8.32,5.26
-3.27,-9.55,-0.08,9.47
2.83,-1.15,-0.14,1.0099999999999998
8.63,-0.42,1.7,2.12
-6.49,7.5,9.27,1.7699999999999996
2.14,9.33,-8.75,18.08
6.01,3.04,4.67,1.63
-4.62,4.17,-2.32,6.49
-0.91,-2.92,8.45,11.37
-0.79,9.3,8.71,0.5899999999999999
7.62,-4.81,-9.91,5.1000000000000005
5.42,7.82,2.49,5.33
-7.74,-1.74,2.54,4.28
1.46,-4.23,-1.24,2.99
-8.4,-5.2,7.6,12.8
-0.74,-4.19,3.46,7.65
0.85,-3.27,-2.3,0.9700000000000002
9.6,-4.87,-8.43,3.5599999999999996
8.74,1.33,8.56,7.23
-4.04,-4.16,-4.09,0.07000000000000028
-8.89,1.58,8.98,7.4
-8.26,-3.36,-0.37,2.9899999999999998
4.41,-5.41,-1.94,3.47
-6.61,-3.86,5.41,9.27
3.44,5.38,-2.98,8.36
-8.62,4.75,-2.62,7.37
8.89,-2.46,-2.03,0.43000000000000016
-8.64,-2.03,8.48,10.51
-2.73,5.0,6.4,1.4000000000000004
8.11,-1.34,-0.17,1.1700000000000002
-2.52,-1.3,2.9,4.2
0.7,5.33,3.1,2.23
3.97,6.47,-8.89,15.36
6.41,-1.72,0.06,1.78
-3.5,6.95,-0.96,7.91
9.19,6.53,-0.84,7.37
0.9,2.33,4.2,1.87
5.66,2.15,5.36,3.2100000000000004
-6.37,-3.84,0.89,4.7299999999999995
6.21,0.92,-0.11,1.03
-3.75,-0.93,-4.44,3.5100000000000002
1.51,2.26,9.34,7.08
-0.66,-3.3,-8.74,5.44
-6.34,9.6,-5.51,15.11
-6.98,-2.16,-5.33,3.17
8.12,-4.89,-7.39,2.5
-2.22,0.67,7.44,6.7700000000000005
-6.78,-3.34,0.82,4.16
5.49,-3.76,3.1,6.859999999999999
-4.89,-4.23,-4.2,0.03000000000000025
6.39,-8.0,0.56,8.56
-8.36,-2.97,9.04,12.01
9.82,-2.4,0.9,3.3
2.35,-9.1,-0.66,8.44
-7.27,4.68,-7.15,11.83
-1.93,2.09,-9.77,11.86
6.88,-4.18,5.04,9.219999999999999
-6.3,-5.23,-9.12,3.889999999999999
3.59,-3.56,8.93,12.49
4.45,-6.12,-0.07,6.05
-0.86,-5.84,6.54,12.379999999999999
8.81,4.65,-8.01,12.66
-2.08,-4.92,-2.03,2.89
6.83,-5.61,2.25,7.86
-6.96,4.26,1.59,2.67
-4.41,7.1,4.75,2.3499999999999996
-6.33,-3.47,-2.8,0.6700000000000004
5.94,-2.44,-2.98,0.54
-0.32,3.23,6.78,3.5500000000000003
-6.53,5.42,2.81,2.61
-9.21,4.7,4.18,0.5200000000000005
-6.63,7.76,-9.56,17.32
-6.44,4.26,-9.69,13.95
-3.56,6.77,-6.28,13.05
3.04,8.74,8.43,0.3100000000000005
-8.99,7.62,-3.3,10.92
9.48,-2.66,-9.33,6.67
3.69,6.56,-0.83,7.39
4.06,-1.78,3.58,5.36
-4.39,-9.25,-2.37,6.88
-7.59,4.57,-3.0,7.57
1.92,4.77,6.51,1.7400000000000002
1.25,-5.24,4.36,9.600000000000001
2.5,6.33,-7.33,13.66
